id,name,latitude,longitude,feature_code,elevation
3846871,Cerro Lina,-23.03571,-66.85539,MT,5021
3846893,Cerro Lila,-25.55686,-68.07268,MT,5756
3846955,Sierra Leon Muerto,-25.93011,-66.84965,MT,5155
3846960,Cerro Leon Muerto,-26.11665,-66.85782,MT,5328
3846989,Alto de los Leones,-33.00851,-70.13475,MT,5400
3847009,Cerro Leon Chico,-26.14572,-66.85142,MT,5140
3847394,Cumbre del Laudo,-26.50541,-68.52546,MT,6152
3847744,Cerro Las Tortolas,-29.93432,-69.90041,MT,6160
3847965,Cerro Las Palas,-29.03333,-69.76667,MT,5052
3849119,Cerro de La Ramada,-32.09032,-69.98449,MT,5944
3849120,Cerro Ramadas,-22.2,-66.61667,MT,5500
3850893,Cerros Laguna Verde,-25.41667,-68.0,MT,5424
3850904,Cerro de Lagunas Frias,-27.52877,-68.41361,MT,5178
3850918,Cerro Laguna Pedernal,-25.34475,-68.28768,MT,5313
3850945,Cerro Laguna Escondida,-26.60399,-68.4794,MT,5868
3850980,Cerro Laguna Blanca Norte,-26.43441,-67.06774,MT,5715
3851008,Cerro de la Laguna,-34.11428,-69.62694,MT,5037
3853408,Cerro Juere Grande,-24.95,-66.6,MT,5163
3853803,Cerro Ingamayo,-24.65782,-66.40781,MT,5476
3853870,Cerro de Incahuasi,-27.03382,-68.29574,MT,6621
3853873,Cerro Incahuasi,-26.39938,-67.77288,MT,6621
3853886,Cerro Inca,-24.59947,-68.49539,MT,5620
3853893,Cerro Iman,-29.22985,-69.4729,MT,5428
3854346,Cerro Hermoso,-23.43605,-65.52931,MT,5093
3854897,Cerro Granada Segundo,-22.55239,-66.54026,MT,5359
3854900,Cerro Granada Primero,-22.58291,-66.53068,MT,5152
3854928,Cerro Gordo,-25.71338,-66.64837,MT,5022
3855093,Cerro General Manuel Belgrano,-29.01392,-67.82877,MT,6250
3855280,Cerro Galan,-25.9392,-66.92266,MT,5912
3855671,Cerro Falso Azufre,-26.79974,-68.35958,MT,5906
3856061,Cerro Escorial,-25.08,-68.37,MT,5447
3857527,Nevado El Muerto,-27.06667,-68.48333,MT,6488
3857785,Cerro El Libertador,-24.93229,-66.39107,MT,6380
3858317,Cerro El Condor,-26.63169,-68.36058,MT,6373
3858356,Nevado de El Clavillo,-27.21305,-66.07108,MT,5069
3859135,Cerro de las Dos Lagunas,-27.25252,-66.14723,MT,5214
3859161,Cerro Dos Conos,-26.80323,-68.27704,MT,5858
3859382,Cerro Diamante,-26.0082,-67.09313,MT,5436
3859383,Cerro Diamante,-25.78918,-66.84956,MT,5284
3859721,Cerro Cuerno,-32.62489,-70.06502,MT,5258
3859736,Cerro Cuchimango,-28.11219,-68.4316,MT,5081
3859857,Crucesniyoc,-22.2,-66.68333,MT,5054
3859932,Cerro Coyaguaima,-22.91667,-66.58333,MT,5614
3860018,Cerro Cortaderal,-24.24629,-65.61321,MT,5312
3860418,Nevado de Concha Argolla,-25.71853,-67.00068,MT,5261
3860458,Cerro Come Caballos,-28.22631,-69.3911,MT,5219
3860622,Cerro Colorado,-28.3087,-69.51463,MT,5145
3860625,Cerro Colorado,-25.92993,-67.09185,MT,5294
3860629,Cerro Colorado,-24.05558,-66.59546,MT,5128
3860853,Cerro Colla,-22.74022,-66.96574,MT,5073
3860888,Nevado de Colangueil,-29.86985,-69.58911,MT,5236
3860909,Cerro de la Coipa,-27.62552,-68.29772,MT,5132
3861112,Cerro Cienaga Pelada,-26.28333,-66.51667,MT,5071
3861117,Cerro Cienaga,-24.76567,-66.41284,MT,6030
3861172,Cerro Chusca,-26.14596,-66.21912,MT,5391
3861231,Cerro Chucula,-26.7659,-67.99817,MT,5872
3861349,Cerro Chivato,-29.52839,-69.80785,MT,5181
3861368,Cerro Chiquero,-32.23695,-69.61654,MT,5129
3861412,Cerro Chimbote,-33.28393,-69.94391,MT,5396
3861657,Cerro Chascon,-26.58393,-67.91887,MT,5305
3861730,Nevado de Chani,-24.06292,-65.74571,MT,5896
3862122,Cerro Central,-32.9717,-69.99402,MT,5031
3862149,Cerro Cenizo,-27.86183,-68.45435,MT,5208
3862362,Cerro Caserones,-28.18895,-69.45867,MT,5206
3862847,Nevado del Candado,-27.3272,-66.19011,MT,5302
3863436,Cerro Calalaste,-25.66417,-67.43475,MT,5294
3863481,Cerro Cajero,-25.62949,-68.00524,MT,5675
3863651,Cerro Caballo,-32.17334,-69.94575,MT,5079
3863973,Cerro Bonete,-32.50084,-70.0543,MT,5027
3863974,Cerro Bonete,-27.85061,-68.8193,MT,6759
3863983,Cerro del Bolson,-27.21417,-66.09417,MT,5552
3864136,Cerro Blanco,-28.3453,-69.565,MT,5372
3864138,Cerro Blanco,-26.53854,-67.84145,MT,5084
3864453,Cerro Bayo Segundo,-22.64028,-66.58988,MT,5018
3864466,Cerro Bayo Grande,-26.72999,-66.65627,MT,5082
3864514,Cerro Bayo,-27.28179,-68.52465,MT,6436
3864528,Cerro Bayo,-22.48333,-66.93333,MT,5221
3864568,Cumbre Baya,-28.88435,-67.82592,MT,5137
3864611,Cerro Barro Negro,-24.32817,-65.67901,MT,5333
3865122,Cerro del Baboso,-28.28661,-69.37461,MT,6070
3865152,Cerro Azufre,-24.398,-66.77849,MT,5528
3865525,Cerro Archibarca,-25.23771,-67.86491,MT,5044
3865596,Cerro Aracar,-24.3,-67.78333,MT,6095
3865887,Cerro Ameghino,-32.62432,-69.97298,MT,5794
3866544,Cerro Aguas Dulces,-26.28887,-68.20217,MT,5611
3866559,Cerro Aguas Blancas,-25.70402,-68.48013,MT,5735
3866560,Alto Aguas Blancas,-26.45154,-67.79494,MT,5025
3866820,Cerro de la Aguada,-25.66812,-67.89284,MT,5583
3866859,Cerro Agua Caliente,-25.61629,-66.97092,MT,5046
3866860,Cerro Agua Caliente,-24.2924,-66.51419,MT,5348
3866949,Cerro Aconcagua,-32.65383,-70.01141,MT,6959
3866993,Nevado de Acay,-24.41284,-66.16061,MT,5950
3867016,Cerro Abra Grande,-25.45993,-68.29725,MT,5490
3869104,Cerro Tridente,-26.28201,-68.55645,MT,5226
3875255,Cerro El Potro,-28.39402,-69.62951,MT,5854
3875511,Cerro de las Polleras,-33.24729,-69.92217,MT,5757
3878098,Cerro de Olivares,-30.3,-69.91667,MT,5207
3892826,Cerro Curutu,-23.1752,-67.06077,MT,5121
8540355,Penon al Norte del Falso Azufre,-26.79454,-68.36483,MT,5826
11109735,Cerro Munizaga,-30.386,-70.05354,MT,5093
11129737,Cerro Baya de Cori,-24.99264,-68.41748,MT,5107
11177216,Cerro Dos Naciones,-24.8174,-68.52993,MT,5339
11177279,Cerro Tecar Norte,-24.49157,-68.3419,MT,5205
11209155,Cerro Los Maranceles,-28.44809,-69.66255,MT,5688
12149363,Pico Salado,-25.4975,-68.5699,MT,5023
12906743,Cerro Oscara,-24.17336,-67.27904,MT,5000
12906744,Cerro Guanaquero,-24.2892,-67.44801,MT,5092
3876046,Cerro Piga,-20.07956,-68.76354,MT,5038
3878384,Cerro Cono,-20.63433,-68.44675,MT,5204
3885792,Cerro La Laguna,-20.77195,-68.54218,MT,5092
3886665,Nevado Kakepe Junthuta,-18.06667,-69.06667,MT,5036
3887298,Cerro Agua de Perdiz,-21.7907,-68.06137,MT,5524
3887308,Cordon de Inacaliri,-21.93936,-68.08301,MT,5355
3892576,Cerro Deslinde,-22.27392,-67.93611,MT,5587
3896820,Cerro Capurata,-18.41512,-69.04615,MT,5990
3898735,Cerro Barrancani,-20.22948,-68.71455,MT,5111
3899247,Cerro Ascotan de Ramaditas,-21.68781,-68.11744,MT,5500
3899872,Cerro Alto Toroni,-19.74833,-68.69685,MT,5788
3900819,Cerro Zapaleri,-22.81583,-67.18,MT,5653
3901039,Cerro Yaretani,-18.14371,-68.35018,MT,5006
3901176,Cerro Yacuma,-15.86667,-68.55,MT,5972
3901338,Cerro Vizcachillas,-22.33333,-67.56667,MT,5074
3901347,Cerro Vitunal,-22.13333,-66.7,MT,5166
3901443,Nevado Vinohuara,-16.03333,-68.36667,MT,5259
3901667,Cerro Vilama,-22.53333,-66.98333,MT,5340
3901820,Cerro Vena Larga,-22.06667,-67.08333,MT,5020
